شناسه,نام محصول,دسته‌بندی,کارگردان,بازیگران,ژانر,تاریخ انتشار,مدت زمان (دقیقه),زبان,کشور,امتیاز وزندار,تعداد امتیازها,میانگین امتیاز,تعداد نظرات,بازدید,دانلود,وضعیت
53,The Wire,سریال,دیوید سایمون,"دومینیک وست, جان دومان","جنایی, درام",2002-06-02,55,انگلیسی,,3.15,6,3.33,2,187,10,published
54,Stranger Things,سریال,دافر برادران,"وینونا رایدر, دیوید هاربر","علمی-تخیلی, درام",2016-07-15,50,انگلیسی,,2.96,6,2.83,2,197,15,published
55,The Crown,سریال,پیتر مورگان,"کلیر فوی, اولیویا کلمن","بیوگرافی, درام",2016-11-04,55,انگلیسی,,3.29,9,3.44,2,237,46,published
49,Game of Thrones,سریال,"دیوید بنیاف, دی. بی. وایس","امیلیا کلارک, کیت هرینگتون","اکشن, ماجراجویی",2011-04-17,55,انگلیسی,,3.03,5,3.20,6,196,22,published
50,Chernobyl,سریال,یوهان رنک,"جرد هریس, استلان اسکارشگورد","درام, تاریخی",2019-05-06,60,انگلیسی,,2.79,9,2.78,6,271,40,published
51,The Sopranos,سریال,دیوید چیس,"جیمز گاندولفینی, لورین براکو","جنایی, درام",1999-01-10,50,انگلیسی,,2.61,10,2.50,1,236,17,published
52,Band of Brothers,سریال,"تام هنکس, استیون اسپیلبرگ","دیمین لوئیس, ران لیوینگستون","جنگ, درام",2001-09-09,60,انگلیسی,,3.02,9,3.00,4,234,21,published
48,Breaking Bad,سریال,وینس گیلیگان,"برایان کرانستون, آرون پال","جنایی, درام",2008-01-20,45,انگلیسی,,3.21,7,3.43,1,181,17,published
47,Cinema Paradiso,فیلم,جوزپه تورناتوره,"فیلیپ نوآره, ژاک پرن, سالواتوره کاسچو",درام,,155,ایتالیایی,ایتالیا,3.16,14,3.21,3,297,30,published
43,Joker,فیلم,تاد فیلیپس,"واکین فینیکس, رابرت دنیرو, زازی بیتز","جنایی, درام, دلهره‌آور",,122,انگلیسی,آمریکا,3.77,9,3.89,3,251,28,published
44,1917,فیلم,سم مندس,"جورج مک کی, دین-چارلز چپمن, کالین فرث","درام, جنگ",,119,انگلیسی,آمریکا,3.26,10,3.40,1,226,39,published
45,Your Name (Kimi no Na wa),فیلم,ماکوتو شینکای,"ریونوسوکه کامیکی, مونه کامیشیرایشی, ریو ناریتا","انیمیشن, درام, عاشقانه",,106,ژاپنی,ژاپن,3.15,10,3.20,1,235,41,published
46,Come and See,فیلم,الم کلیموف,"الکسی کراچنکو, اولگا میرونوا","درام, جنگ",,142,روسی,اتحاد جماهیر شوروی,3.28,11,3.18,5,296,26,published
40,Dune: Part Two,فیلم,دنی ویلنوو,"تیموتی شالامی, زندایا, ربکا فرگوسن","اکشن, ماجراجویی, درام",,166,انگلیسی,آمریکا,2.12,7,2.00,4,223,14,published
41,Spider-Man: Across the Spider-Verse,فیلم,"خواکیم دوس سانتوس, کم پاورز, جاستین کی. تامپسون","شامیک مور, هایلی استاینفلد, برایان تایری هنری","انیمیشن, اکشن, ماجراجویی",,140,انگلیسی,آمریکا,2.45,6,2.33,4,191,10,published
42,The Father,فیلم,فلوریان زلر,"آنتونی هاپکینز, الیویا کلمن, مارک گیتیس","درام, معمایی",,97,انگلیسی,"فرانسه, انگلستان",3.23,9,3.11,5,262,38,published
39,3 Idiots,فیلم,راجکومار هیرانی,"عامر خان, مدهون, شامان جوشی","کمدی, درام",,170,هندی,هند,2.66,14,2.57,2,291,43,published
35,Whiplash,فیلم,دیمین شزل,"مایلز تلر, جی. کی. سیمونز, پال رایزر","درام, موسیقی",,107,انگلیسی,آمریکا,2.90,13,3.00,3,320,52,published
36,The Intouchables,فیلم,"اریک تولهدانو, اولیویه ناکاش","فرانسوا کلوزه, عمر سی, آن لو نی","بیوگرافی, کمدی, درام",,112,فرانسوی,فرانسه,3.48,8,3.75,3,244,23,published
37,Parasite,فیلم,بونگ جون-هو,"سونگ کانگ-هو, لی سون-کیون, چو یئو-جونگ","درام, دلهره‌آور",,132,کرهای,کره جنوبی,2.63,8,2.62,3,208,35,published
38,Coco,فیلم,"لی آنکریچ, آدریان مولینا","آنتونی گونزالس, گائل گارسیا برنال, بنجامین برت","انیمیشن, ماجراجویی, خانوادگی",,105,انگلیسی,آمریکا,2.69,8,2.50,5,266,38,published
31,Saving Private Ryan,فیلم,استیون اسپیلبرگ,"تام هنکس, مت دیمون, تام سایزمور","درام, جنگ",,169,انگلیسی,آمریکا,3.02,8,2.88,1,220,12,published
32,The Green Mile,فیلم,فرانک دارابانت,"تام هنکس, مایکل کلارک دانکن, دیوید مورس","جنایی, درام, فانتزی",,189,انگلیسی,آمریکا,3.15,8,3.25,5,221,11,published
33,Gladiator,فیلم,ریدلی اسکات,"راسل کرو, واکین فینیکس, کانی نیلسن","اکشن, درام",,155,انگلیسی,آمریکا,2.90,14,2.79,2,280,29,published
34,The Prestige,فیلم,کریستوفر نولان,"کریستین بیل, هیو جکمن, اسکارلت جوهانسون","درام, معمایی, علمی-تخیلی",,130,انگلیسی,آمریکا,2.70,12,2.67,2,253,17,published
27,The Silence of the Lambs,فیلم,جاناتان دمی,"جودی فاستر, آنتونی هاپکینز, اسکات گلن","جنایی, درام, دلهره‌آور",,118,انگلیسی,آمریکا,2.85,13,2.77,4,327,37,published
28,City of God,فیلم,"فرناندو میرلس, کاتیا لوند","الکساندر رودریگز, لئاندرو فیرمینو","جنایی, درام",,130,پرتغالی,برزیل,3.62,11,3.82,1,230,23,published
29,Interstellar,فیلم,کریستوفر نولان,"متیو مک کانهی, آن هتوی, جسیکا چستین","ماجراجویی, درام, علمی-تخیلی",,169,انگلیسی,آمریکا,2.78,8,3.00,3,201,18,published
30,Spirited Away,فیلم,هایائو میازاکی,"رومی هیراگی, میو ایرینو, ماری ناتسوکی","انیمیشن, ماجراجویی, خانوادگی",,125,ژاپنی,ژاپن,3.38,8,3.62,1,196,15,published
24,Goodfellas,فیلم,مارتین اسکورسیزی,"رابرت دنیرو, ری لیوتا, جو پشی","بیوگرافی, جنایی, درام",,145,انگلیسی,آمریکا,3.10,11,3.27,7,323,36,published
25,The Matrix,فیلم,"لانا واچوفسکی, لیلی واچوفسکی","کیانو ریوز, لارنس فیشبرن, کری-ان ماس","اکشن, علمی-تخیلی",,136,انگلیسی,آمریکا,3.03,5,3.00,3,198,27,published
26,Seven Samurai,فیلم,آکیرا کوروساوا,"توشیرو میفونه, تاکاشی شیمورا","اکشن, درام",,207,ژاپنی,ژاپن,3.33,10,3.50,3,269,49,published
20,Pulp Fiction,فیلم,کوئنتین تارانتینو,"جان تراولتا, اوما تورمن, ساموئل ال. جکسون","جنایی, درام",,154,انگلیسی,آمریکا,3.01,13,3.15,3,289,52,published
21,Inception,فیلم,کریستوفر نولان,"لئوناردو دیکاپریو, جوزف گوردون لویت, الیوت پیج","اکشن, ماجراجویی, علمی-تخیلی",,148,انگلیسی,آمریکا,2.67,7,2.43,3,216,21,published
22,Fight Club,فیلم,دیوید فینچر,"برد پیت, ادوارد نورتون, میت لوف",درام,,139,انگلیسی,آمریکا,3.23,12,3.17,2,261,21,published
23,Forrest Gump,فیلم,رابرت زمکیس,"تام هنکس, رابین رایت, گری سینایس","درام, عاشقانه",,142,انگلیسی,آمریکا,2.76,8,2.62,3,204,32,published
17,The Dark Knight,فیلم,کریستوفر نولان,"کریستین بیل, هیث لجر, آرون اکهارت","اکشن, جنایی, درام",,152,انگلیسی,آمریکا,2.79,3,2.67,1,154,12,published
18,Schindler's List,فیلم,استیون اسپیلبرگ,"لیام نیسون, رالف فاینس, بن کینگزلی","بیوگرافی, درام, تاریخی",,195,انگلیسی,آمریکا,2.35,10,2.10,3,264,45,published
19,The Lord of the Rings: The Return of the King,فیلم,پیتر جکسون,"الایجا وود, ویگو مورتنسن, ایان مک کلن","اکشن, ماجراجویی, درام",,201,انگلیسی,"نیوزیلند, آمریکا",3.13,9,3.11,3,238,45,published
16,The Godfather,فیلم,فرانسیس فورد کاپولا,"مارلون براندو, آل پاچینو, جیمز کان","جنایی, درام",,175,انگلیسی,آمریکا,3.53,7,3.57,3,213,12,published
15,The Shawshank Redemption,فیلم,فرانک دارابانت,"تیم رابینز, مورگان فریمن",درام,,142,انگلیسی,آمریکا,3.24,8,3.25,5,233,28,published
14,Inside Out 2,فیلم,کیلسی مان,"امی پولر, مایا هاوک, کندس لین","انیمیشن, کمدی, خانوادگی",2024-06-14,96,انگلیسی,آمریکا,3.16,10,3.40,4,278,24,published
11,Deadpool 3,فیلم,شان لوی,"رایان رینولدز, هیو جکمن, اما کورین","اکشن, کمدی, علمی-تخیلی",2024-07-26,127,انگلیسی,آمریکا,3.80,11,3.73,4,307,21,published
12,Spider-Man: Beyond the Spider-Verse,فیلم,خواکیم دوس سانتوس,"شامیک مور, هایلی استاینفلد, جیک جانسون","انیمیشن, اکشن, ماجراجویی",2024-03-29,140,انگلیسی,آمریکا,3.45,10,3.50,3,247,43,published
13,Gladiator 2,فیلم,ریدلی اسکات,"پل مسکال, دنزل واشنگتن, پدرو پاسکال","اکشن, درام, تاریخی",2024-11-22,170,انگلیسی,"آمریکا, انگلستان",3.24,10,3.10,3,263,32,published
10,Barbie,فیلم,گرتا گرویک,"مارگو رابی, رایان گاسلینگ, آمریکا فررا","کمدی, ماجراجویی, فانتزی",2023-07-21,114,انگلیسی,آمریکا,3.27,13,3.31,2,270,30,published
6,Superman,فیلم,جیمز گان,"دیوید کورنسوت, ریچل بروزنان, نیکلاس هولت","اکشن, ماجراجویی, فانتزی",2025-07-11,125,انگلیسی,آمریکا,3.43,7,3.43,5,238,14,published
7,The Batman 2,فیلم,مت ریوز,"رابرت پتینسون, جفری رایت, اندی سرکیس","اکشن, جنایی, درام",2026-10-02,165,انگلیسی,آمریکا,3.07,9,3.22,3,225,36,published
8,Joker: Folie à Deux,فیلم,تاد فیلیپس,"واکین فینیکس, لیدی گاگا, زازی بیتز","درام, موزیکال, دلهره‌آور",2024-10-04,138,انگلیسی,آمریکا,3.62,6,3.83,3,185,16,published
9,Oppenheimer,فیلم,کریستوفر نولان,"کیلیان مورفی, امیلی بلانت, مت دیمون","بیوگرافی, درام, تاریخی",2023-07-21,180,انگلیسی,"آمریکا, انگلستان",3.78,13,3.85,4,304,50,published
3,The Odyssey,فیلم,کریستوفر نولان,"مت دیمون, تام هالند, ان هتوی","اکشن, ماجراجویی, حماسی",2026-07-17,180,انگلیسی,"آمریکا, انگلستان",2.78,8,2.88,1,228,14,published
4,Dune: Messiah,فیلم,دنی ویلنوو,"تیموتی شالامی, زندایا, فلورنس پیو","علمی-تخیلی, حماسی, درام",2026-12-18,170,انگلیسی,آمریکا,3.23,9,3.22,4,261,34,published
5,Mickey 17,فیلم,بونگ جون-هو,"رابرت پتینسون, نائومی آکی, استیون ین","علمی-تخیلی, ماجراجویی, درام",2025-03-28,137,انگلیسی,آمریکا,3.34,14,3.57,3,322,56,published
2,28 Years Later: The Bone Temple 2026,فیلم,Nia DaCosta,"Jack O'Connell
Sir Jimmy Crystal
Alfie Williams
Spike
Connor Newall
Jimmy Shite
Erin Kellyman
Jimmy Ink
Maura Bird
Jimmy Jones
Ghazi Al Ruffai
Jimmy Snake",ترسناک,2025-08-06,108,فارسی,"Canada , United Kingdom , United States",3.41,8,3.50,1,221,14,published
