شناسه نظر,کاربر,محصول,متن نظر,تاریخ ثبت,وضعیت
186,Elham952,The Shawshank Redemption,حس و حال خاصی داشت، متفاوت بود.,2026-05-23 12:32:20.328718+00:00,فعال
187,Elham952,Cinema Paradiso,فیلم فوق‌العاده‌ای بود! حتماً ببینید.,2026-05-23 12:32:20.328718+00:00,فعال
188,Elham952,Spider-Man: Across the Spider-Verse,قسمت اول بهتر از این بود.,2026-05-23 12:32:20.328718+00:00,فعال
189,Elham952,Fight Club,بد نبود، اما می‌توانست بهتر باشد.,2026-05-23 12:32:20.328718+00:00,فعال
183,Pouria534,The Godfather,من که لذت بردم، دوست داشتنی بود.,2026-05-23 12:32:20.317741+00:00,فعال
184,Pouria534,The Boys,فیلم فوق‌العاده‌ای بود! حتماً ببینید.,2026-05-23 12:32:20.317741+00:00,فعال
185,Elham952,Superman,جزو بهترین‌هایی بود که دیدم!,2026-05-23 12:32:20.317741+00:00,فعال
182,Pouria534,Deadpool 3,خیلی طولانی بود، خسته‌کننده.,2026-05-23 12:32:20.313038+00:00,فعال
177,Pouria534,Interstellar,فیلم فوق‌العاده‌ای بود! حتماً ببینید.,2026-05-23 12:32:20.297363+00:00,فعال
178,Pouria534,3 Idiots,فیلمنامه ضعیف، بازیگری خوب.,2026-05-23 12:32:20.297363+00:00,فعال
179,Pouria534,Peaky Blinders,کارگردانی خوب، بازیگری عالی.,2026-05-23 12:32:20.297363+00:00,فعال
180,Pouria534,Dune: Messiah,دکور و لباس‌ها حرفه‌ای بود.,2026-05-23 12:32:20.297363+00:00,فعال
181,Pouria534,28 Years Later: The Bone Temple 2026,جزو بهترین‌هایی بود که دیدم!,2026-05-23 12:32:20.297363+00:00,فعال
173,Niloofar373,Dark,دیالوگ‌ها بسیار قوی و ماندگار.,2026-05-23 12:32:20.281464+00:00,فعال
174,Niloofar373,Dune: Messiah,حتماً قسمت دوم را هم خواهم دید.,2026-05-23 12:32:20.281464+00:00,فعال
175,Niloofar373,Peaky Blinders,جزو بهترین‌هایی بود که دیدم!,2026-05-23 12:32:20.281464+00:00,فعال
176,Pouria534,Black Mirror,فیلم فوق‌العاده‌ای بود! حتماً ببینید.,2026-05-23 12:32:20.281464+00:00,فعال
169,Arman629,Game of Thrones,قسمت اول بهتر از این بود.,2026-05-23 12:32:20.265371+00:00,فعال
170,Niloofar373,Come and See,چیزی که انتظار داشتم نبود.,2026-05-23 12:32:20.265371+00:00,فعال
171,Niloofar373,Parasite,دکور و لباس‌ها حرفه‌ای بود.,2026-05-23 12:32:20.265371+00:00,فعال
172,Niloofar373,City of God,صحنه‌های اکشن فوق‌العاده.,2026-05-23 12:32:20.265371+00:00,فعال
164,Leyla445,The Green Mile,بازیگر نقش منفی عالی بود.,2026-05-23 12:32:20.249716+00:00,فعال
165,Arman629,Joker,قسمت اول بهتر از این بود.,2026-05-23 12:32:20.249716+00:00,فعال
166,Arman629,Deadpool 3,صحنه‌های اکشن فوق‌العاده.,2026-05-23 12:32:20.249716+00:00,فعال
167,Arman629,The Lord of the Rings: The Return of the King,داستان جذاب و غیرقابل پیش‌بینی.,2026-05-23 12:32:20.249716+00:00,فعال
168,Arman629,The Green Mile,بازیگر اصلی عالی بود، بقیه معمولی.,2026-05-23 12:32:20.249716+00:00,فعال
160,Leyla445,Come and See,بد نبود، اما می‌توانست بهتر باشد.,2026-05-23 12:32:20.233782+00:00,فعال
161,Leyla445,Band of Brothers,تکرار مکررات، هیچ ایده جدیدی نداشت.,2026-05-23 12:32:20.233782+00:00,فعال
162,Leyla445,The Boys,به هیچ وجه پیشنهاد نمی‌کنم.,2026-05-23 12:32:20.233782+00:00,فعال
163,Leyla445,Goodfellas,جزو بهترین‌هایی بود که دیدم!,2026-05-23 12:32:20.233782+00:00,فعال
156,Kaveh21,The Crown,بازیگر اصلی عالی بود، بقیه معمولی.,2026-05-23 12:32:20.217758+00:00,فعال
157,Leyla445,The Wire,به هیچ وجه پیشنهاد نمی‌کنم.,2026-05-23 12:32:20.217758+00:00,فعال
158,Leyla445,Superman,فیلم فوق‌العاده‌ای بود! حتماً ببینید.,2026-05-23 12:32:20.217758+00:00,فعال
159,Leyla445,Chernobyl,بازیگر اصلی عالی بود، بقیه معمولی.,2026-05-23 12:32:20.217758+00:00,فعال
152,Kaveh21,Inception,حس و حال خاصی داشت، متفاوت بود.,2026-05-23 12:32:20.202053+00:00,فعال
153,Kaveh21,Oppenheimer,از همان دقیقه اول جذبم کرد.,2026-05-23 12:32:20.202053+00:00,فعال
154,Kaveh21,Coco,قسمت اول بهتر از این بود.,2026-05-23 12:32:20.202053+00:00,فعال
155,Kaveh21,Whiplash,فیلم فوق‌العاده‌ای بود! حتماً ببینید.,2026-05-23 12:32:20.202053+00:00,فعال
148,Tara392,Dark,نمی‌فهمم چرا اینقدر معروف شده!,2026-05-23 12:32:20.186301+00:00,فعال
149,Tara392,Whiplash,بازیگری عالی بود، داستان جذاب.,2026-05-23 12:32:20.186301+00:00,فعال
150,Tara392,Oppenheimer,من که لذت بردم، دوست داشتنی بود.,2026-05-23 12:32:20.186301+00:00,فعال
151,Kaveh21,3 Idiots,قسمت اول بهتر از این بود.,2026-05-23 12:32:20.186301+00:00,فعال
143,Saman76,Parasite,پایان‌بندی عجیبی داشت، سردرگم شدم!,2026-05-23 12:32:20.170596+00:00,فعال
144,Saman76,Dune: Messiah,وقت تلف کردن، اصلاً ارزش نداشت.,2026-05-23 12:32:20.170596+00:00,فعال
145,Saman76,Interstellar,تکنیکال عالی، داستان متوسط.,2026-05-23 12:32:20.170596+00:00,فعال
146,Tara392,The Godfather,از همان دقیقه اول جذبم کرد.,2026-05-23 12:32:20.170596+00:00,فعال
147,Tara392,The Matrix,تکرار مکررات، هیچ ایده جدیدی نداشت.,2026-05-23 12:32:20.170596+00:00,فعال
139,Saman76,Spirited Away,من که لذت بردم، دوست داشتنی بود.,2026-05-23 12:32:20.156726+00:00,فعال
140,Saman76,Goodfellas,به هیچ وجه پیشنهاد نمی‌کنم.,2026-05-23 12:32:20.156726+00:00,فعال
141,Saman76,Joker: Folie à Deux,بازیگر نقش منفی عالی بود.,2026-05-23 12:32:20.156726+00:00,فعال
142,Saman76,Forrest Gump,شاهکار! بدون شک جزو بهترین‌هاست.,2026-05-23 12:32:20.156726+00:00,فعال
135,Maryam881,Better Call Saul,وقت تلف کردن، اصلاً ارزش نداشت.,2026-05-23 12:32:20.138915+00:00,فعال
136,Saman76,The Last of Us,پایان‌بندی عجیبی داشت، سردرگم شدم!,2026-05-23 12:32:20.138915+00:00,فعال
137,Saman76,House of the Dragon,بازیگر اصلی عالی بود، بقیه معمولی.,2026-05-23 12:32:20.138915+00:00,فعال
138,Saman76,The Mandalorian,قسمت اول بهتر از این بود.,2026-05-23 12:32:20.138915+00:00,فعال
131,Maryam881,Pulp Fiction,جزو بهترین‌هایی بود که دیدم!,2026-05-23 12:32:20.125011+00:00,فعال
132,Maryam881,Avatar: The Last Airbender,تکنیکال عالی، داستان متوسط.,2026-05-23 12:32:20.125011+00:00,فعال
133,Maryam881,Cinema Paradiso,جزو بهترین‌هایی بود که دیدم!,2026-05-23 12:32:20.125011+00:00,فعال
134,Maryam881,Gladiator 2,ارزش دیدن دارد، اما نه بیشتر.,2026-05-23 12:32:20.125011+00:00,فعال
129,Amir456,Band of Brothers,پایان‌بندی عجیبی داشت، سردرگم شدم!,2026-05-23 12:32:20.117604+00:00,فعال
130,Maryam881,Coco,صحنه‌های اکشن فوق‌العاده.,2026-05-23 12:32:20.117604+00:00,فعال
126,Amir456,Schindler's List,وقت تلف کردن، اصلاً ارزش نداشت.,2026-05-23 12:32:20.107175+00:00,فعال
127,Amir456,Inside Out 2,پایان‌بندی عجیبی داشت، سردرگم شدم!,2026-05-23 12:32:20.107175+00:00,فعال
128,Amir456,Avatar: The Last Airbender,بد نبود، اما می‌توانست بهتر باشد.,2026-05-23 12:32:20.107175+00:00,فعال
122,Amir456,The Prestige,پایان‌بندی عجیبی داشت، سردرگم شدم!,2026-05-23 12:32:20.091099+00:00,فعال
123,Amir456,Dune: Messiah,بازیگر نقش منفی عالی بود.,2026-05-23 12:32:20.091099+00:00,فعال
124,Amir456,Sherlock,فیلم فوق‌العاده‌ای بود! حتماً ببینید.,2026-05-23 12:32:20.091099+00:00,فعال
125,Amir456,The Dark Knight,بازیگری عالی بود، داستان جذاب.,2026-05-23 12:32:20.091099+00:00,فعال
118,Fatemeh779,Cinema Paradiso,تکرار مکررات، هیچ ایده جدیدی نداشت.,2026-05-23 12:32:20.074991+00:00,فعال
119,Amir456,The Last of Us,حس و حال خاصی داشت، متفاوت بود.,2026-05-23 12:32:20.074991+00:00,فعال
120,Amir456,Succession,نمی‌فهمم چرا اینقدر معروف شده!,2026-05-23 12:32:20.074991+00:00,فعال
121,Amir456,The Intouchables,ارزش دیدن دارد، اما نه بیشتر.,2026-05-23 12:32:20.074991+00:00,فعال
114,Fatemeh779,Inside Out 2,دیالوگ‌ها بسیار قوی و ماندگار.,2026-05-23 12:32:20.059330+00:00,فعال
115,Fatemeh779,Peaky Blinders,بازیگر اصلی عالی بود، بقیه معمولی.,2026-05-23 12:32:20.059330+00:00,فعال
116,Fatemeh779,The Father,بد نبود، اما می‌توانست بهتر باشد.,2026-05-23 12:32:20.059330+00:00,فعال
117,Fatemeh779,Inception,بازیگری عالی بود، داستان جذاب.,2026-05-23 12:32:20.059330+00:00,فعال
112,Fatemeh779,House of the Dragon,حتماً قسمت دوم را هم خواهم دید.,2026-05-23 12:32:20.052385+00:00,فعال
113,Fatemeh779,Coco,وقت تلف کردن، اصلاً ارزش نداشت.,2026-05-23 12:32:20.052385+00:00,فعال
111,Mahdi175,Whiplash,حتماً قسمت دوم را هم خواهم دید.,2026-05-23 12:32:20.050381+00:00,فعال
110,Mahdi175,The Father,چیزی که انتظار داشتم نبود.,2026-05-23 12:32:20.046374+00:00,فعال
109,Mahdi175,Goodfellas,بازیگری عالی بود، داستان جذاب.,2026-05-23 12:32:20.042521+00:00,فعال
105,Zahra47,Interstellar,صحنه‌های اکشن فوق‌العاده.,2026-05-23 12:32:20.026607+00:00,فعال
106,Zahra47,Fargo,جزو بهترین‌هایی بود که دیدم!,2026-05-23 12:32:20.026607+00:00,فعال
107,Mahdi175,Mickey 17,نمی‌فهمم چرا اینقدر معروف شده!,2026-05-23 12:32:20.026607+00:00,فعال
108,Mahdi175,Oppenheimer,بازیگر نقش منفی عالی بود.,2026-05-23 12:32:20.026607+00:00,فعال
102,Zahra47,The Last of Us,بازیگر اصلی عالی بود، بقیه معمولی.,2026-05-23 12:32:20.017284+00:00,فعال
103,Zahra47,Game of Thrones,خیلی طولانی بود، خسته‌کننده.,2026-05-23 12:32:20.017284+00:00,فعال
104,Zahra47,Stranger Things,خیلی طولانی بود، خسته‌کننده.,2026-05-23 12:32:20.017284+00:00,فعال
101,Zahra47,Chernobyl,بد نبود، اما می‌توانست بهتر باشد.,2026-05-23 12:32:20.010920+00:00,فعال
96,Zahra47,Joker: Folie à Deux,فیلمنامه ضعیف، بازیگری خوب.,2026-05-23 12:32:19.994916+00:00,فعال
97,Zahra47,The Sopranos,چیزی که انتظار داشتم نبود.,2026-05-23 12:32:19.994916+00:00,فعال
98,Zahra47,Coco,بر اساس کتاب بود؟ کتاب خیلی بهتر بود.,2026-05-23 12:32:19.994916+00:00,فعال
99,Zahra47,Superman,قسمت اول بهتر از این بود.,2026-05-23 12:32:19.994916+00:00,فعال
100,Zahra47,Dune: Part Two,داستان جذاب و غیرقابل پیش‌بینی.,2026-05-23 12:32:19.994916+00:00,فعال
92,Hossein94,Mickey 17,تکنیکال عالی، داستان متوسط.,2026-05-23 12:32:19.978863+00:00,فعال
93,Hossein94,The Green Mile,تکرار مکررات، هیچ ایده جدیدی نداشت.,2026-05-23 12:32:19.978863+00:00,فعال
94,Zahra47,Schindler's List,جزو بهترین‌هایی بود که دیدم!,2026-05-23 12:32:19.978863+00:00,فعال
95,Zahra47,Black Mirror,برای یک بار دیدن خوبه.,2026-05-23 12:32:19.978863+00:00,فعال
89,Hossein94,Gladiator 2,دکور و لباس‌ها حرفه‌ای بود.,2026-05-23 12:32:19.967149+00:00,فعال
90,Hossein94,Better Call Saul,تکرار مکررات، هیچ ایده جدیدی نداشت.,2026-05-23 12:32:19.967149+00:00,فعال
91,Hossein94,Inside Out 2,شاهکار! بدون شک جزو بهترین‌هاست.,2026-05-23 12:32:19.967149+00:00,فعال
88,Hossein94,Fargo,به هیچ وجه پیشنهاد نمی‌کنم.,2026-05-23 12:32:19.963007+00:00,فعال
83,Hossein94,Goodfellas,چیزی که انتظار داشتم نبود.,2026-05-23 12:32:19.947213+00:00,فعال
84,Hossein94,House of the Dragon,وقت تلف کردن، اصلاً ارزش نداشت.,2026-05-23 12:32:19.947213+00:00,فعال
85,Hossein94,The Silence of the Lambs,بازیگر نقش منفی عالی بود.,2026-05-23 12:32:19.947213+00:00,فعال
86,Hossein94,The Prestige,تکنیکال عالی، داستان متوسط.,2026-05-23 12:32:19.947213+00:00,فعال
87,Hossein94,Seven Samurai,حتماً قسمت دوم را هم خواهم دید.,2026-05-23 12:32:19.947213+00:00,فعال
79,Hossein94,Inception,فیلمنامه ضعیف، بازیگری خوب.,2026-05-23 12:32:19.931393+00:00,فعال
80,Hossein94,Spider-Man: Across the Spider-Verse,وقت تلف کردن، اصلاً ارزش نداشت.,2026-05-23 12:32:19.931393+00:00,فعال
81,Hossein94,Chernobyl,وقت تلف کردن، اصلاً ارزش نداشت.,2026-05-23 12:32:19.931393+00:00,فعال
82,Hossein94,Band of Brothers,جزو بهترین‌هایی بود که دیدم!,2026-05-23 12:32:19.931393+00:00,فعال
75,Neda911,Gladiator 2,شاهکار! بدون شک جزو بهترین‌هاست.,2026-05-23 12:32:19.916990+00:00,فعال
76,Neda911,The Green Mile,بازیگر اصلی عالی بود، بقیه معمولی.,2026-05-23 12:32:19.916990+00:00,فعال
77,Neda911,Band of Brothers,جزو بهترین‌هایی بود که دیدم!,2026-05-23 12:32:19.916990+00:00,فعال
78,Neda911,Avatar: The Last Airbender,دیالوگ‌ها بسیار قوی و ماندگار.,2026-05-23 12:32:19.916990+00:00,فعال
74,Neda911,Superman,جزو بهترین‌هایی بود که دیدم!,2026-05-23 12:32:19.915483+00:00,فعال
70,Sara236,Peaky Blinders,فیلمنامه ضعیف، بازیگری خوب.,2026-05-23 12:32:19.899833+00:00,فعال
71,Sara236,The Crown,بازیگری عالی بود، داستان جذاب.,2026-05-23 12:32:19.899833+00:00,فعال
72,Sara236,Dune: Part Two,از همان دقیقه اول جذبم کرد.,2026-05-23 12:32:19.899833+00:00,فعال
73,Sara236,Goodfellas,فیلمنامه ضعیف، بازیگری خوب.,2026-05-23 12:32:19.899833+00:00,فعال
65,Sara236,Fargo,موسیقی متن فوق‌العاده بود.,2026-05-23 12:32:19.883911+00:00,فعال
66,Sara236,The Silence of the Lambs,چیزی که انتظار داشتم نبود.,2026-05-23 12:32:19.883911+00:00,فعال
67,Sara236,Pulp Fiction,از همان دقیقه اول جذبم کرد.,2026-05-23 12:32:19.883911+00:00,فعال
68,Sara236,The Shawshank Redemption,قسمت اول بهتر از این بود.,2026-05-23 12:32:19.883911+00:00,فعال
69,Sara236,The Batman 2,شاهکار! بدون شک جزو بهترین‌هاست.,2026-05-23 12:32:19.883911+00:00,فعال
61,Sara236,The Father,دکور و لباس‌ها حرفه‌ای بود.,2026-05-23 12:32:19.867789+00:00,فعال
62,Sara236,Better Call Saul,چیزی که انتظار داشتم نبود.,2026-05-23 12:32:19.867789+00:00,فعال
63,Sara236,Black Mirror,بر اساس کتاب بود؟ کتاب خیلی بهتر بود.,2026-05-23 12:32:19.867789+00:00,فعال
64,Sara236,Game of Thrones,فیلم فوق‌العاده‌ای بود! حتماً ببینید.,2026-05-23 12:32:19.867789+00:00,فعال
56,Mohammad363,The Green Mile,قسمت اول بهتر از این بود.,2026-05-23 12:32:19.852138+00:00,فعال
57,Mohammad363,Forrest Gump,ارزش دیدن دارد، اما نه بیشتر.,2026-05-23 12:32:19.852138+00:00,فعال
58,Mohammad363,Succession,حس و حال خاصی داشت، متفاوت بود.,2026-05-23 12:32:19.852138+00:00,فعال
59,Sara236,The Matrix,پایان‌بندی عجیبی داشت، سردرگم شدم!,2026-05-23 12:32:19.852138+00:00,فعال
60,Sara236,Gladiator,از همان دقیقه اول جذبم کرد.,2026-05-23 12:32:19.852138+00:00,فعال
52,Mohammad363,The Father,تکرار مکررات، هیچ ایده جدیدی نداشت.,2026-05-23 12:32:19.836504+00:00,فعال
53,Mohammad363,Dune: Part Two,به هیچ وجه پیشنهاد نمی‌کنم.,2026-05-23 12:32:19.836504+00:00,فعال
54,Mohammad363,The Batman 2,من که لذت بردم، دوست داشتنی بود.,2026-05-23 12:32:19.836504+00:00,فعال
55,Mohammad363,Deadpool 3,بد نبود، اما می‌توانست بهتر باشد.,2026-05-23 12:32:19.836504+00:00,فعال
48,Reza572,Dark,بد نبود، اما می‌توانست بهتر باشد.,2026-05-23 12:32:19.820735+00:00,فعال
49,Reza572,Saving Private Ryan,من که لذت بردم، دوست داشتنی بود.,2026-05-23 12:32:19.820735+00:00,فعال
50,Reza572,Breaking Bad,بازیگر نقش منفی عالی بود.,2026-05-23 12:32:19.820735+00:00,فعال
51,Mohammad363,The Mandalorian,حتماً قسمت دوم را هم خواهم دید.,2026-05-23 12:32:19.820735+00:00,فعال
47,Reza572,Stranger Things,بد نبود، اما می‌توانست بهتر باشد.,2026-05-23 12:32:19.816692+00:00,فعال
44,Ali741,Fight Club,برای یک بار دیدن خوبه.,2026-05-23 12:32:19.804825+00:00,فعال
45,Reza572,The Silence of the Lambs,بازیگر نقش منفی عالی بود.,2026-05-23 12:32:19.804825+00:00,فعال
46,Reza572,Spider-Man: Across the Spider-Verse,بر اساس کتاب بود؟ کتاب خیلی بهتر بود.,2026-05-23 12:32:19.804825+00:00,فعال
40,Ali741,Joker,حس و حال خاصی داشت، متفاوت بود.,2026-05-23 12:32:19.788965+00:00,فعال
41,Ali741,The Lord of the Rings: The Return of the King,چیزی که انتظار داشتم نبود.,2026-05-23 12:32:19.788965+00:00,فعال
42,Ali741,Seven Samurai,بازیگر اصلی عالی بود، بقیه معمولی.,2026-05-23 12:32:19.788965+00:00,فعال
43,Ali741,Chernobyl,بازیگر نقش منفی عالی بود.,2026-05-23 12:32:19.788965+00:00,فعال
35,Ali741,The Wire,حس و حال خاصی داشت، متفاوت بود.,2026-05-23 12:32:19.772985+00:00,فعال
36,Ali741,The Godfather,حتماً قسمت دوم را هم خواهم دید.,2026-05-23 12:32:19.772985+00:00,فعال
37,Ali741,The Silence of the Lambs,تکرار مکررات، هیچ ایده جدیدی نداشت.,2026-05-23 12:32:19.772985+00:00,فعال
38,Ali741,Game of Thrones,برای یک بار دیدن خوبه.,2026-05-23 12:32:19.772985+00:00,فعال
39,Ali741,Come and See,پایان‌بندی عجیبی داشت، سردرگم شدم!,2026-05-23 12:32:19.772985+00:00,فعال
31,loginTest,Joker,وقت تلف کردن، اصلاً ارزش نداشت.,2026-05-23 12:32:19.756870+00:00,فعال
32,loginTest,Barbie,شاهکار! بدون شک جزو بهترین‌هاست.,2026-05-23 12:32:19.756870+00:00,فعال
33,Ali741,Forrest Gump,فیلمنامه ضعیف، بازیگری خوب.,2026-05-23 12:32:19.756870+00:00,فعال
34,Ali741,Goodfellas,بد نبود، اما می‌توانست بهتر باشد.,2026-05-23 12:32:19.756870+00:00,فعال
26,loginTest,Spider-Man: Across the Spider-Verse,برای یک بار دیدن خوبه.,2026-05-23 12:32:19.740740+00:00,فعال
27,loginTest,1917,جزو بهترین‌هایی بود که دیدم!,2026-05-23 12:32:19.740740+00:00,فعال
28,loginTest,Dark,دیالوگ‌ها بسیار قوی و ماندگار.,2026-05-23 12:32:19.740740+00:00,فعال
29,loginTest,Peaky Blinders,فیلم فوق‌العاده‌ای بود! حتماً ببینید.,2026-05-23 12:32:19.740740+00:00,فعال
30,loginTest,Come and See,صحنه‌های اکشن فوق‌العاده.,2026-05-23 12:32:19.740740+00:00,فعال
22,loginTest,Game of Thrones,قسمت اول بهتر از این بود.,2026-05-23 12:32:19.724714+00:00,فعال
23,loginTest,Superman,دکور و لباس‌ها حرفه‌ای بود.,2026-05-23 12:32:19.724714+00:00,فعال
24,loginTest,The Shawshank Redemption,پایان‌بندی عجیبی داشت، سردرگم شدم!,2026-05-23 12:32:19.724714+00:00,فعال
25,loginTest,Pulp Fiction,از همان دقیقه اول جذبم کرد.,2026-05-23 12:32:19.724714+00:00,فعال
19,loginTest,Avatar: The Last Airbender,از همان دقیقه اول جذبم کرد.,2026-05-23 12:32:19.716779+00:00,فعال
20,loginTest,Chernobyl,تکنیکال عالی، داستان متوسط.,2026-05-23 12:32:19.716779+00:00,فعال
21,loginTest,Deadpool 3,شاهکار! بدون شک جزو بهترین‌هاست.,2026-05-23 12:32:19.716779+00:00,فعال
17,Tuser,The Shawshank Redemption,بد نبود، اما می‌توانست بهتر باشد.,2026-05-23 12:32:19.708666+00:00,فعال
18,loginTest,Goodfellas,فیلم فوق‌العاده‌ای بود! حتماً ببینید.,2026-05-23 12:32:19.708666+00:00,فعال
13,Tuser,The Matrix,حس و حال خاصی داشت، متفاوت بود.,2026-05-23 12:32:19.693002+00:00,فعال
14,Tuser,Spider-Man: Beyond the Spider-Verse,دکور و لباس‌ها حرفه‌ای بود.,2026-05-23 12:32:19.693002+00:00,فعال
15,Tuser,Come and See,دکور و لباس‌ها حرفه‌ای بود.,2026-05-23 12:32:19.693002+00:00,فعال
16,Tuser,Schindler's List,وقت تلف کردن، اصلاً ارزش نداشت.,2026-05-23 12:32:19.693002+00:00,فعال
9,Tuser,Chernobyl,پایان‌بندی عجیبی داشت، سردرگم شدم!,2026-05-23 12:32:19.678995+00:00,فعال
10,Tuser,Peaky Blinders,وقت تلف کردن، اصلاً ارزش نداشت.,2026-05-23 12:32:19.678995+00:00,فعال
11,Tuser,The Intouchables,جزو بهترین‌هایی بود که دیدم!,2026-05-23 12:32:19.678995+00:00,فعال
12,Tuser,Seven Samurai,ارزش دیدن دارد، اما نه بیشتر.,2026-05-23 12:32:19.678995+00:00,فعال
8,Tuser,Dune: Part Two,تکنیکال عالی، داستان متوسط.,2026-05-23 12:32:19.671423+00:00,فعال
7,Tuser,The Mandalorian,پایان‌بندی عجیبی داشت، سردرگم شدم!,2026-05-23 12:32:19.667265+00:00,فعال
6,Tuser,The Odyssey,دکور و لباس‌ها حرفه‌ای بود.,2026-05-23 12:32:19.663023+00:00,فعال
5,Tuser,Coco,شاهکار! بدون شک جزو بهترین‌هاست.,2026-05-23 12:32:19.661017+00:00,فعال
4,Tuser,The Batman 2,ارزش دیدن دارد، اما نه بیشتر.,2026-05-23 12:32:19.645259+00:00,فعال
